1;Catamarca;125;2500.65;356;11
2;Buenos Aires;2005;10120.43;221;2
3;La Pampa;201;1005.50;300;3
4;Ushuaia;56;588.35;200;2
5;Buenos Aires;3560;2400.75;700;5
6;Rio Negro;2564;1245.50;1000;5
7;Neuquen;7500;60327;3000;5
8;Buenos Aires;2100;12540.65;260;14
9;Santa Fe;450;5600.20;100;11
10;La Pampa;346;5789;430;2
11;Cordoba;2569;7540;600;11
12;Tierra del Fuego;187;2178.25;150;2
13;Cordoba;8600;145782.35;1200;5
14;Santa Fe;5796;12587.15;982;14
15;La Rioja;105;348.25;50;3
16;Cordoba;8542;56432;1300;14
17;Buenos Aires;50245;97000;3128;14
18;Santa Cruz;12325;41236.75;2111;
19;Chubut;1005;3456.85;678;5
20;Formosa;430;6574;301;
